"Title","Start Date","Duration (weeks)","Chapter","Priority","Notes","Calendar Alert"
"Bioacústica - Más allá del antropocentrismo sonoro","22 jun","1","Chapter 1","high","","No"
"Encuentro Entre Especies y Espectros [e4]","29 jun","1","Chapter 1","high","","No"
"Artes de la Transmisión (Full spectrum radio)","6 jul","1","Chapter 1","medium","","No"
"Inteligencia de máquinas y arte (Google AMI)","13 jul","1","Chapter 1","high","","No"
"Monitoreo y Sonificación (Wildlabs)","20 jul","1","Chapter 1","medium","","No"
"Sub/culturas - Reinventar/reconstruir","27 jul","1","Chapter 2","high","","No"
"Tec-sincretismo (EGS)","3 ago","1","Chapter 2","medium","","No"
"Espectros sonoros","10 ago","1","Chapter 2","medium","","No"
"De IAP a DAO","17 ago","1","Chapter 2","high","que es la IAP de Fals Borda?","Yes"
"Parlamento de lo vivo - Édouard Glissant","24 ago","1","Chapter 2","high","","No"
"Agenciamientos multiespecie","31 ago","1","Chapter 2","medium","","No"
"Biocracia - Nueva Gobernanza Inter-especies","7 sept","1","Chapter 3","high","","No"
"Sistemas de información geográfica (SIG)","14 sept","1","Chapter 3","high","","No"
"El jaguar y el ocelote","21 sept","1","Chapter 3","medium","","No"
"Redes de comunicación interespecífica","28 sept","1","Chapter 3","medium","","No"
"Archivos híbridos","5 oct","1","Chapter 3","high","","No"
"Arte y Sensibilización Ecológica","12 oct","1","Chapter 3","medium","","No"
"Tokenización de participación ecosistémica","19 oct","1","Chapter 3","high","","No"
"LiquidIce - Desarrollo y programación","26 oct","1","Chapter 3","high","","No"
"Sistema PAM como base para DAO","2 nov","1","Chapter 3","high","","No"
"Espacialización sonora","9 nov","1","Chapter 3","medium","","No"
"Monitoreo, IA y análisis de redes","16 nov","1","Chapter 3","high","","No"
"Revisión integral Capítulo 1","23 nov","1","Chapter 4","high","","No"
"Revisión integral Capítulo 2","30 nov","1","Chapter 4","high","","No"
"Revisión integral Capítulo 3","7 dic","1","Chapter 4","high","","No"
"Integración y conclusiones generales","14 dic","1","Chapter 4","high","","No"
"Revisión final y preparación de presentación","21 dic","1","Chapter 4","high","","No"
